,date,Open,High,Low,Last,Close,Volume,BidVolume,AskVolume,returns,scaled_returns,OHLCAvg,rv5_1,rv5_5,rv5_21,hp,hp_signal,10_range,10_high_x,10_low_x,momentum_8,momentum_12,kama_5_x,kama_20_x,VSA,HAR_preds,ann_vol,target_returns
2370,2015-11-08,1563.0,1564.7,1562.2,1563.1,1563.1,2366,1298,1068,0.0001919447205098,0.0004231133571973,1563.25,,,,1.0701216098972333,-1.0,0.7974683544303853,0.0374820628199904,-0.0304134852162204,-0.0330353757878327,-0.0481471567008853,-0.0027128123354332,-0.0083036226835546,-0.495247825008449,,0.0680472681533755,-0.1442942101133788
2371,2015-11-09,1563.1,1568.8,1561.3,1565.8,1565.8,114621,58784,55837,0.0017258465723886,0.0038187603063027,1564.75,0.0102080745894801,0.0031256909319628,0.0012420841970649,1.0209431332034546,-1.0,0.7993322203672844,0.0365620625222738,-0.0294915364365414,-0.0304426024164579,-0.0417157066767721,-0.0007266236379113,-0.0042298506241864,-0.5002786824585302,0.0115208526239559,0.0677908444347829,0.0283169718089584
2372,2015-11-10,1565.9,1568.7,1557.9,1563.2,1563.2,110970,54932,56038,-0.0016618731852959,-0.0038464957486139,1563.9250000000002,0.0023959066917205,0.0029982549067875,0.0011606701140512,1.0004967395265976,-1.0,0.6272513703993634,0.0326807249679447,-0.0271589698238591,-0.0273851424511937,-0.0361848522059009,-0.0018010773866311,-0.0038520105135551,-0.2116061486098034,0.0083975649750782,0.0648072932055679,0.0039494144065464
2373,2015-11-11,1563.2,1567.4,1557.1,1559.9,1559.9,95906,48153,47753,-0.0021132856636949,-0.0051188994703334,1561.9,0.0026884565795981,0.0025388266294036,0.001151798580944,0.97939193537325,-1.0,0.742507576607924,0.0339440658216027,-0.0274282945030134,-0.0212483813214428,-0.0350846880644351,-0.0036592748232462,-0.0038826367915943,-0.2002236970337,0.0083350040552505,0.0619259767439019,-0.0330590485207877
2374,2015-11-12,1559.9,1562.9,1546.9,1557.2,1557.2,158097,80134,77963,-0.001732379888522,-0.0043900716603991,1556.725,0.0027326024911307,0.0022172081108807,0.0011406005191362,1.0004824981735498,-1.0,1.7045908183632783,0.0342480701114828,-0.019102571049948,-0.0165587785520546,-0.0368170679529571,-0.004725961284585,-0.0036471395244048,0.042893612282117,0.0082732274145438,0.0591919684642867,-0.0927896164562579
2375,2015-11-13,1557.3,1561.9,1552.1,1557.3,1557.3,113111,55779,57332,6.421576499171522e-05,0.0001678938027605,1557.15,0.0017335696532384,0.0021395125552088,0.0010184170457405,0.976292283786416,-1.0,1.15895571711831,0.0242448581368075,-0.013876378472667,-0.0135848257730089,-0.0358859253889791,-0.0040268999794043,-0.0023289196478962,-0.2305838835424815,0.0076851334874282,0.0573717706691933,-0.0657868680972349
2376,2015-11-14,1557.3,1561.9,1552.1,1557.3,1557.3,0,0,0,0.0,0.0,1557.15,,,,0.955397898633806,0.0,0.6341112708771242,0.0174195265484762,-0.0117682719462967,-0.0035255316796227,-0.031166592238419,-0.0023111909739932,-0.0015104956515772,0.0745985922766272,,0.0554737426487487,-0.0300461701615536
2377,2015-11-15,1561.8,1563.4,1559.1,1562.5,1562.5,5372,2802,2570,0.0033335501092635,0.0086531364404423,1561.7000000000005,,,,0.8969295138063669,0.0,1.4782894736841996,0.0136023235454177,-0.000310555332087,-0.0001919815703592,-0.0195829953357096,0.0010146312945737,0.0013078159173182,-0.3018795408387819,,0.0577862743562567,0.0588988451316297
2378,2015-11-16,1562.4,1571.3,1554.4,1556.9,1556.9,125295,62012,63283,-0.0035904379149274,-0.0095758822375942,1561.25,0.0048997882011769,0.001220088679832,0.0010393758458555,0.9374598457546756,0.0,1.4655940863137191,0.013885286753532,-0.0005902023452284,-0.0039743642057965,-0.0167514505927268,-0.0024812655883882,-0.0015526629200356,0.3351683107140164,0.0087537085733002,0.0562418870529484,-0.004566966477764
2379,2015-11-17,1556.7,1559.0,1538.3,1542.1,1542.1,156054,79765,76289,-0.0095515408320183,-0.0219489675506963,1549.025,0.0102040764739716,0.0022402570882882,0.0011277437644655,0.9985598571653408,0.0,0.6213960546282179,0.0138436064354408,-0.0081880814719161,-0.0152517516102035,-0.0233932544106911,-0.0100009762361706,-0.0075036923451201,0.3352179603213081,0.01092806460058,0.0652755589297548,-0.1495273736001509
2380,2015-11-18,1542.1,1548.5,1535.9,1544.7,1544.7,125583,63744,61839,0.0016845928565949,0.0038988075668302,1542.8000000000002,0.0096989579521825,0.0022409357523064,0.0011029153505254,0.9954001551728516,0.0,0.6815968841285294,0.0177208368617092,-0.0115029993663726,-0.0119052855683126,-0.0116493674607101,-0.0073893112928508,-0.0041658989999362,-0.056284325844031,0.0108613112025285,0.0648118493046527,-0.175770327836983
2381,2015-11-19,1544.8,1560.5,1542.2,1555.2,1555.2,146828,71952,74876,0.0067744379859693,0.0138457745641524,1550.675,0.0069807494668004,0.0025843518326922,0.0011231669476045,1.0320091453056404,0.0,0.8370725332171668,0.0128305074536669,-0.0052410678931948,-0.0030175619186483,-0.0048749294747407,-0.0005827402065846,0.0021629281474858,0.2037963443193298,0.0098778805768064,0.0733917552381875,-0.0148778757797149
2382,2015-11-20,1555.1,1561.1,1548.8,1550.6,1550.6,102986,51419,51567,-0.0029622019213162,-0.0062886594878925,1553.9,0.007393757518907,0.002628652582773,0.0010810631251371,1.0225697433708163,0.0,0.8392662153308612,0.0108309562602078,-0.0032368375030506,-0.0042473839514425,-0.0080290761165668,-0.0033292976152174,-0.000652539174618,-0.0071462956752179,0.0100850310043184,0.0706558033636421,0.07801148585471
2383,2015-11-21,1555.1,1561.1,1548.8,1550.6,1550.6,0,0,0,0.0,0.0,1553.9,,,,1.0145059075486302,0.0,0.8414714254434014,0.0108376381027707,-0.0032388343755406,-0.0043115997164342,-0.0097549226889555,-0.0032237071380513,-0.0005358497841325,0.3125706965071965,,0.067753559768958,0.0563735970826304
2384,2015-11-22,1550.3,1550.4,1546.4,1548.9,1548.9,2081,1107,974,-0.0010969512311449,-0.0025415527588887,1549.0,,,,0.9479799584071849,0.0,0.8347996089931604,0.0138980944900272,-0.0062946526614024,-0.0054085509475791,-0.0091900007348044,-0.0040023818346218,-0.0013612388176879,-0.2266578659803176,,0.064741006888909,-0.0625712530680443
